We	O
had	O
the	O
chance	O
to	O
speak	O
to	O
Eduardo	PERSON
Hochschild	PERSON
Chairman	POSITION
and	O
controller	O
of	O
Pacasmayo	ORGANIZATION
over	O
the	O
phone.	O
He	O
did	O
not	O
give	O
much	O
away	O
and	O
was	O
very	O
brief	O
so	O
we	O
had	O
to	O
read	O
in	O
between	O
the	O
lines	O
on	O
some	O
comments	O
but	O
think	O
he	O
addressed	O
most	O
topics	O
we	O
wanted	O
to	O
cover.	O
We	O
also	O
squeezed	O
in	O
some	O
questions	O
on	O
Gra&ntilde;a	ORGANIZATION
y	ORGANIZATION
Montero	ORGANIZATION
and	O
the	O
Inmaculada	ORGANIZATION
project	ORGANIZATION
so	O
this	O
is	O
also	O
a	O
read-across	O
Gra&ntilde;a.	ORGANIZATION
GovernanceWhen	ORGANIZATION
we	O
asked	O
about	O
the	O
family	ORGANIZATION
businesses	ORGANIZATION
Eduardo	PERSON
clarified	O
that	O
he	O
is	O
the	O
family.	O
When	O
his	O
father	O
passed	O
away	O
Eduardo	PERSON
took	O
control	O
of	O
the	O
business	O
and	O
if	O
I	O
understood	O
correctly	O
bought	O
his	O
siblings	O
out.	O
Eduardo	PERSON
is	O
the	O
only	O
family	O
member	O
involved	O
in	O
the	O
business	O
and	O
his	O
involvement	O
nowadays	O
is	O
only	O
at	O
the	O
nonexecutive	O
level.	O
Besides	O
Hochschild	ORGANIZATION
Mining	ORGANIZATION
and	O
Pacasmayo	ORGANIZATION
the	O
group	O
also	O
runs	O
an	O
engineering	ORGANIZATION
university	ORGANIZATION
in	O
Peru	LOCATION
and	O
education	O
seems	O
to	O
be	O
one	O
of	O
his	O
areas	O
of	O
interest.	O
However	O
I	O
get	O
the	O
impression	O
his	O
interests	O
here	O
are	O
philanthropic	O
rather	O
than	O
economic.	O
The	ORGANIZATION
miming	ORGANIZATION
company	ORGANIZATION
is	O
not	O
involved	O
in	O
any	O
of	O
Pacasmayo	ORGANIZATION
business	O
so	O
there	O
are	O
no	O
intragroup	O
RPTs.	O
Eduardo	PERSON
made	O
the	O
point	O
that	O
the	O
Hoschild	ORGANIZATION
group	ORGANIZATION
has	O
always	O
had	O
strong	O
governance	O
within	O
the	O
group	O
and	O
having	O
both	O
companies	O
listed	O
in	O
LSE	ORGANIZATION
(Mining)	ORGANIZATION
and	O
NYSE	ORGANIZATION
(Pacasmayo)	ORGANIZATION
are	O
an	O
indication	O
of	O
their	O
high	O
attention	O
to	O
the	O
matter.	O
He	O
counts	O
on	O
strong	O
mgmt.	O
teams	O
for	O
both	O
companies	O
so	O
he	O
does	O
not	O
have	O
to	O
be	O
too	O
involved	O
and	O
he	O
tries	O
to	O
split	O
his	O
time	O
evenly	O
when	O
managing	O
his	O
businesses.	O
There	O
is	O
no	O
succession	O
plan	O
in	O
place	O
